Date,Actual,SARIMA,AutoARIMA,XGBoost,Ensemble
2011-10-27,57291.72,77748.41247272573,35687.355759508944,60967.734,56739.75640989783
2011-10-28,40565.7,57593.77715952673,30378.441837011134,65008.99,53136.78212363369
2011-10-29,0.0,26632.762997963044,22119.96076049071,57211.062,40568.072077739824
2011-10-30,34571.23,48132.558428519886,28234.295859594713,55310.723,45752.16177170739
2011-10-31,57369.15,60746.222903987014,31545.988266802102,55999.875,49612.97856083803
2011-11-01,29155.15,82765.39049016198,39762.81984420945,57326.797,57145.32248879523
2011-11-02,45888.34,65934.93503851215,30821.951846429078,59605.492,52236.318655381154
2011-11-03,63561.49,80881.40216210543,33744.15843933703,58755.215,55677.135386097194
2011-11-04,62977.36,60726.72784145949,29795.886564661734,56171.234,49169.72872519042
2011-11-05,0.0,29765.98198880663,23648.509783264908,61967.395,44031.4465983658
2011-11-06,42946.340000000004,51265.5026501081,28200.458119833085,52037.21,44731.843434721544
2011-11-07,85881.81,63879.110763855024,30663.276108828155,56429.293,50189.451469794454
2011-11-08,57700.24,85898.14408409341,36776.27723244831,56382.402,56403.713158428174
2011-11-09,66127.57,69067.84378288468,30124.167837533463,51276.51,48489.07496721197
2011-11-10,71008.26,84014.3254749824,32299.305879410622,49014.758,51000.03576506967
2011-11-11,55257.17,63859.64623672434,29360.87615801084,59352.68,51256.53193849812
2011-11-12,0.0,32898.93420938564,24787.005540421287,63479.15,45755.46272275352
2011-11-13,34069.92,54398.42023092671,28173.685713798284,60505.68,49584.62960407483
2011-11-14,114419.89,67012.02123923354,30006.616972478685,56428.45,50618.613948965314
2011-11-15,60807.29,89031.03763276059,34555.6488238527,51853.43,54099.61701745793
2011-11-16,65958.17,72200.7568911423,29605.53512001852,57965.96,52304.792382984015
2011-11-17,61103.13,87147.24041987018,31223.931540633806,58260.812,55927.03379616418
2011-11-18,51275.39,66992.56056165592,29037.513068730743,59702.625,51961.07853295041
2011-11-19,0.0,36031.85279862537,25633.937101791347,59193.5,44493.30169026248
2011-11-20,35058.57,57531.33445318224,28154.112759340696,50470.934,45187.967515313656
2011-11-21,49805.72,70144.93456571657,29517.949889016436,63383.633,54576.188286098244
2011-11-22,64089.82,92163.94882531773,32902.88093574996,61857.285,59232.296623913535
2011-11-23,80104.18,75333.67054954855,29219.483468867194,55913.99,51789.57329119487
2011-11-24,50978.63,90280.15430981774,30423.785151565917,53416.04,53891.185938683324
2011-11-25,50822.73,70125.47437344649,28796.821614015276,50777.97,48053.12573389388
2011-11-26,0.0,39164.76714801107,26264.201220343533,53428.785,42426.60637383028
2011-11-27,20611.08,60664.248252028585,28139.471959406757,45627.508,43388.445144477744
2011-11-28,57165.19,73277.84825163418,29154.335209920977,52299.3,49551.520603928126
2011-11-29,72595.93,95296.8622422144,31673.117164142004,50067.523,53595.06931643548
2011-11-30,60126.96,78466.58427731124,28932.246273398403,45467.12,47106.55128435677
2011-12-01,52197.25,93413.0680667705,29828.374782781455,45440.37,50351.31159506354
2011-12-02,57664.07,73258.38812054614,28617.736112408504,51862.44,49168.21916095678
2011-12-03,0.0,42297.68096288456,26733.177157614427,61251.875,47105.42683986124
2011-12-04,24621.43,63797.16199749637,28128.59426425919,57365.227,49880.623960027035
2011-12-05,88741.96,76410.7619828652,28883.76318143197,51759.117,49826.83994475263
2011-12-06,56713.21,98429.77593953034,30758.017018550785,59818.52,58822.620059096305
2011-12-07,75439.16,81599.49801381762,28718.50327782467,57778.793,53824.84707048592
2011-12-08,82495.0,96545.98180695681,29385.32512417183,61508.375,58878.981398642914
2011-12-09,200920.6,76391.30185949027,28484.47288707132,60842.56,54244.88153489445
