Date,Forecasted Revenue
2011-12-10,57897.12109375
2011-12-11,60046.30078125
2011-12-12,62597.30859375
2011-12-13,63985.25390625
2011-12-14,60615.140625
2011-12-15,55319.09375
2011-12-16,50093.57421875
2011-12-17,63514.18359375
2011-12-18,62182.0
2011-12-19,63855.97265625
2011-12-20,65503.984375
2011-12-21,61106.58203125
2011-12-22,60397.671875
2011-12-23,48853.9921875
2011-12-24,55790.22265625
2011-12-25,54548.1171875
2011-12-26,56986.51171875
2011-12-27,58406.79296875
2011-12-28,57081.44921875
2011-12-29,56265.49609375
2011-12-30,53402.83203125
2011-12-31,56458.671875
2012-01-01,58753.609375
2012-01-02,57083.00390625
2012-01-03,58050.23046875
2012-01-04,55333.390625
2012-01-05,53787.8515625
2012-01-06,49132.27734375
2012-01-07,54465.4921875
2012-01-08,54449.75390625
